Kjoretoytype,Kjoretoytype_label,DrivstoffType,DrivstoffType_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2013,2013,28370.1,
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2014,2014,28942.3,
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2015,2015,29515.1,
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2016,2016,29858.8,
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2017,2017,29999.6,
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2018,2018,29817.8,
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2019,2019,28893.2,
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2020,2020,26800.1,
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2021,2021,26342.8,
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2022,2022,24925.1,
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2023,2023,23552.7,
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2024,2024,22522.2,
0,Kjøretøy i alt,2,Diesel,Kjorelengde,Kjørelengde (mill. km),2025,2025,21252.5,
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2005,2005,18895.0,
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2006,2006,19062.0,
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2007,2007,19637.0,
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2008,2008,19430.0,
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2009,2009,18766.0,
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2010,2010,17948.0,
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2011,2011,17336.0,
