Region,Region_label,Kjopegrupper,Kjopegrupper_label,PetroleumProd,PetroleumProd_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2017M09,2017M09,706,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2017M10,2017M10,744,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2017M11,2017M11,709,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2017M12,2017M12,637,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2018M01,2018M01,662,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2018M02,2018M02,606,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2018M03,2018M03,652,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2018M04,2018M04,662,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2018M05,2018M05,723,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2018M06,2018M06,769,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2018M07,2018M07,717,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2018M08,2018M08,747,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2018M09,2018M09,690,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2018M10,2018M10,758,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2018M11,2018M11,695,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2018M12,2018M12,598,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2019M01,2019M01,602,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2019M02,2019M02,558,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2019M03,2019M03,619,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2019M04,2019M04,610,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2019M05,2019M05,678,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2019M06,2019M06,725,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2019M07,2019M07,715,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2019M08,2019M08,722,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2019M09,2019M09,714,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2019M10,2019M10,715,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2019M11,2019M11,654,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2019M12,2019M12,588,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2020M01,2020M01,634,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2020M02,2020M02,629,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2020M03,2020M03,650,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2020M04,2020M04,558,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2020M05,2020M05,610,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2020M06,2020M06,722,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2020M07,2020M07,654,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2020M08,2020M08,706,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2020M09,2020M09,674,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2020M10,2020M10,684,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2020M11,2020M11,625,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2020M12,2020M12,577,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2021M01,2021M01,543,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2021M02,2021M02,571,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2021M03,2021M03,598,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2021M04,2021M04,576,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2021M05,2021M05,620,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2021M06,2021M06,698,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2021M07,2021M07,681,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2021M08,2021M08,689,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2021M09,2021M09,698,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2021M10,2021M10,700,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2021M11,2021M11,689,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2021M12,2021M12,647,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,2022M01,2022M01,546,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2010M01,2010M01,124,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2010M02,2010M02,118,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2010M03,2010M03,135,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2010M04,2010M04,128,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2010M05,2010M05,143,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2010M06,2010M06,151,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2010M07,2010M07,157,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2010M08,2010M08,152,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2010M09,2010M09,134,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2010M10,2010M10,131,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2010M11,2010M11,122,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2010M12,2010M12,130,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2011M01,2011M01,115,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2011M02,2011M02,110,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2011M03,2011M03,119,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2011M04,2011M04,122,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2011M05,2011M05,133,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2011M06,2011M06,139,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2011M07,2011M07,142,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2011M08,2011M08,141,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2011M09,2011M09,122,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2011M10,2011M10,123,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2011M11,2011M11,111,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2011M12,2011M12,114,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2012M01,2012M01,108,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2012M02,2012M02,105,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2012M03,2012M03,111,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2012M04,2012M04,113,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2012M05,2012M05,131,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2012M06,2012M06,123,
