Energibalanse,Energibalanse_label,EnergiProdukt,EnergiProdukt_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2013,2013,142.2,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2014,2014,145.1,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2015,2015,146.7,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2016,2016,150.8,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2017,2017,147.6,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2018,2018,146.1,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2019,2019,142.6,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2020,2020,135.1,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2021,2021,140.8,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2022,2022,141.9,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2023,2023,135.2,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2024,2024,129.9,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),2025,2025,121.9,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),1990,1990,28524.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),1991,1991,28062.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),1992,1992,28163.0,
