Region,Region_label,DrivstoffType,DrivstoffType_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
0,Hele landet,5,El.,Personbil1,Personbiler,2019,2019,260692,
0,Hele landet,5,El.,Personbil1,Personbiler,2020,2020,340002,
0,Hele landet,5,El.,Personbil1,Personbiler,2021,2021,460734,
0,Hele landet,5,El.,Personbil1,Personbiler,2022,2022,599169,
0,Hele landet,5,El.,Personbil1,Personbiler,2023,2023,689169,
0,Hele landet,5,El.,Personbil1,Personbiler,2024,2024,788750,
0,Hele landet,5,El.,Personbil1,Personbiler,2025,2025,945182,
0,Hele landet,5,El.,Varebil4,Varebiler,2008,2008,62,
0,Hele landet,5,El.,Varebil4,Varebiler,2009,2009,67,
0,Hele landet,5,El.,Varebil4,Varebiler,2010,2010,64,
0,Hele landet,5,El.,Varebil4,Varebiler,2011,2011,101,
0,Hele landet,5,El.,Varebil4,Varebiler,2012,2012,159,
0,Hele landet,5,El.,Varebil4,Varebiler,2013,2013,511,
0,Hele landet,5,El.,Varebil4,Varebiler,2014,2014,1068,
0,Hele landet,5,El.,Varebil4,Varebiler,2015,2015,1808,
0,Hele landet,5,El.,Varebil4,Varebiler,2016,2016,2568,
0,Hele landet,5,El.,Varebil4,Varebiler,2017,2017,3478,
0,Hele landet,5,El.,Varebil4,Varebiler,2018,2018,5314,
0,Hele landet,5,El.,Varebil4,Varebiler,2019,2019,7336,
0,Hele landet,5,El.,Varebil4,Varebiler,2020,2020,9752,
0,Hele landet,5,El.,Varebil4,Varebiler,2021,2021,15133,
0,Hele landet,5,El.,Varebil4,Varebiler,2022,2022,21657,
0,Hele landet,5,El.,Varebil4,Varebiler,2023,2023,29623,
0,Hele landet,5,El.,Varebil4,Varebiler,2024,2024,36986,
0,Hele landet,5,El.,Varebil4,Varebiler,2025,2025,49436,
0,Hele landet,6,Annet drivstoff,Personbil1,Personbiler,2008,2008,126,
0,Hele landet,6,Annet drivstoff,Personbil1,Personbiler,2009,2009,131,
0,Hele landet,6,Annet drivstoff,Personbil1,Personbiler,2010,2010,144,
0,Hele landet,6,Annet drivstoff,Personbil1,Personbiler,2011,2011,180,
0,Hele landet,6,Annet drivstoff,Personbil1,Personbiler,2012,2012,357,
0,Hele landet,6,Annet drivstoff,Personbil1,Personbiler,2013,2013,2070,
0,Hele landet,6,Annet drivstoff,Personbil1,Personbiler,2014,2014,999,
0,Hele landet,6,Annet drivstoff,Personbil1,Personbiler,2015,2015,1013,
0,Hele landet,6,Annet drivstoff,Personbil1,Personbiler,2016,2016,91054,
0,Hele landet,6,Annet drivstoff,Personbil1,Personbiler,2017,2017,144630,
0,Hele landet,6,Annet drivstoff,Personbil1,Personbiler,2018,2018,189650,
0,Hele landet,6,Annet drivstoff,Personbil1,Personbiler,2019,2019,226926,
0,Hele landet,6,Annet drivstoff,Personbil1,Personbiler,2020,2020,272314,
0,Hele landet,6,Annet drivstoff,Personbil1,Personbiler,2021,2021,324089,
0,Hele landet,6,Annet drivstoff,Personbil1,Personbiler,2022,2022,348969,
0,Hele landet,6,Annet drivstoff,Personbil1,Personbiler,2023,2023,362194,
0,Hele landet,6,Annet drivstoff,Personbil1,Personbiler,2024,2024,369835,
0,Hele landet,6,Annet drivstoff,Personbil1,Personbiler,2025,2025,371004,
0,Hele landet,6,Annet drivstoff,Varebil4,Varebiler,2008,2008,21,
0,Hele landet,6,Annet drivstoff,Varebil4,Varebiler,2009,2009,29,
0,Hele landet,6,Annet drivstoff,Varebil4,Varebiler,2010,2010,49,
0,Hele landet,6,Annet drivstoff,Varebil4,Varebiler,2011,2011,53,
0,Hele landet,6,Annet drivstoff,Varebil4,Varebiler,2012,2012,63,
0,Hele landet,6,Annet drivstoff,Varebil4,Varebiler,2013,2013,66,
0,Hele landet,6,Annet drivstoff,Varebil4,Varebiler,2014,2014,63,
0,Hele landet,6,Annet drivstoff,Varebil4,Varebiler,2015,2015,60,
0,Hele landet,6,Annet drivstoff,Varebil4,Varebiler,2016,2016,57,
0,Hele landet,6,Annet drivstoff,Varebil4,Varebiler,2017,2017,72,
0,Hele landet,6,Annet drivstoff,Varebil4,Varebiler,2018,2018,93,
0,Hele landet,6,Annet drivstoff,Varebil4,Varebiler,2019,2019,123,
0,Hele landet,6,Annet drivstoff,Varebil4,Varebiler,2020,2020,189,
0,Hele landet,6,Annet drivstoff,Varebil4,Varebiler,2021,2021,689,
0,Hele landet,6,Annet drivstoff,Varebil4,Varebiler,2022,2022,1135,
0,Hele landet,6,Annet drivstoff,Varebil4,Varebiler,2023,2023,2492,
0,Hele landet,6,Annet drivstoff,Varebil4,Varebiler,2024,2024,3108,
0,Hele landet,6,Annet drivstoff,Varebil4,Varebiler,2025,2025,4177,
