TypeRegistrering,TypeRegistrering_label,DrivstoffType,DrivstoffType_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2003M07,2003M07,3,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2003M08,2003M08,20,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2003M09,2003M09,29,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2003M10,2003M10,9,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2003M11,2003M11,7,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2003M12,2003M12,5,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2004M01,2004M01,3,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2004M02,2004M02,3,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2004M03,2004M03,2,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2004M04,2004M04,8,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2004M05,2004M05,10,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2004M06,2004M06,15,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2004M07,2004M07,6,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2004M08,2004M08,4,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2004M09,2004M09,6,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2004M10,2004M10,4,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2004M11,2004M11,3,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2004M12,2004M12,9,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2005M01,2005M01,3,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2005M02,2005M02,4,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2005M03,2005M03,5,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2005M04,2005M04,7,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2005M05,2005M05,6,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2005M06,2005M06,4,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2005M07,2005M07,1,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2005M08,2005M08,1,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2005M09,2005M09,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2005M10,2005M10,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2005M11,2005M11,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2005M12,2005M12,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2006M01,2006M01,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2006M02,2006M02,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2006M03,2006M03,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2006M04,2006M04,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2006M05,2006M05,2,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2006M06,2006M06,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2006M07,2006M07,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2006M08,2006M08,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2006M09,2006M09,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2006M10,2006M10,7,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2006M11,2006M11,3,
