Region,Region_label,TypeRegistrering,TypeRegistrering_label,DrivstoffType,DrivstoffType_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Kombibil5,Kombinerte biler,2022,2022,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Kombibil5,Kombinerte biler,2023,2023,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Kombibil5,Kombinerte biler,2024,2024,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Kombibil5,Kombinerte biler,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Ambulanse2,Ambulanser,2019,2019,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Ambulanse2,Ambulanser,2020,2020,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Ambulanse2,Ambulanser,2021,2021,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Ambulanse2,Ambulanser,2022,2022,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Ambulanse2,Ambulanser,2023,2023,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Ambulanse2,Ambulanser,2024,2024,0,
0,Hele landet,N,Nye kjøretøy,16,"Diesel hybrid, ladbar",Ambulanse2,Ambulanser,2025,2025,0,
0,Hele landet,N,Nye kjøretøy,17,"Diesel hybrid, ikke ladbar",Personbil1,Personbiler,2019,2019,544,
0,Hele landet,N,Nye kjøretøy,17,"Diesel hybrid, ikke ladbar",Personbil1,Personbiler,2020,2020,763,
0,Hele landet,N,Nye kjøretøy,17,"Diesel hybrid, ikke ladbar",Personbil1,Personbiler,2021,2021,797,
0,Hele landet,N,Nye kjøretøy,17,"Diesel hybrid, ikke ladbar",Personbil1,Personbiler,2022,2022,633,
0,Hele landet,N,Nye kjøretøy,17,"Diesel hybrid, ikke ladbar",Personbil1,Personbiler,2023,2023,256,
