PetroleumProd,PetroleumProd_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1999M03,1999M03,8.5,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1999M04,1999M04,8.77,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1999M05,1999M05,8.92,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1999M06,1999M06,8.89,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1999M07,1999M07,9.08,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1999M08,1999M08,9.3,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1999M09,1999M09,9.32,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1999M10,1999M10,9.04,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1999M11,1999M11,9.26,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1999M12,1999M12,9.62,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2000M01,2000M01,9.59,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2000M02,2000M02,9.61,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2000M03,2000M03,10.22,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2000M04,2000M04,10.09,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2000M05,2000M05,10.25,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2000M06,2000M06,10.85,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2000M07,2000M07,10.74,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2000M08,2000M08,10.3,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2000M09,2000M09,10.79,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2000M10,2000M10,10.46,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2000M11,2000M11,10.47,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2000M12,2000M12,10.0,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2001M01,2001M01,9.41,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2001M02,2001M02,9.7,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2001M03,2001M03,9.56,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2001M04,2001M04,9.86,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2001M05,2001M05,10.42,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2001M06,2001M06,9.97,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2001M07,2001M07,9.11,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2001M08,2001M08,9.02,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2001M09,2001M09,9.2,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2001M10,2001M10,8.74,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2001M11,2001M11,8.33,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2001M12,2001M12,8.23,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2002M01,2002M01,8.53,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2002M02,2002M02,8.57,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2002M03,2002M03,8.78,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2002M04,2002M04,9.25,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2002M05,2002M05,8.99,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2002M06,2002M06,8.83,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2002M07,2002M07,8.81,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2002M08,2002M08,8.94,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2002M09,2002M09,9.12,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2002M10,2002M10,9.04,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2002M11,2002M11,8.89,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2002M12,2002M12,8.89,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2003M01,2003M01,8.99,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2003M02,2003M02,9.48,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2003M03,2003M03,9.56,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2003M04,2003M04,9.3,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2003M05,2003M05,8.71,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2003M06,2003M06,8.83,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2003M07,2003M07,9.13,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2003M08,2003M08,9.3,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2003M09,2003M09,9.19,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2003M10,2003M10,8.99,
