Alder,Alder_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
06,16 - 20 år,Varebiler,Registrerte varebiler,2025,2025,59327,
07,Over 20 år,Personbiler,Registrerte personbiler,2008,2008,188067,
07,Over 20 år,Personbiler,Registrerte personbiler,2009,2009,183709,
07,Over 20 år,Personbiler,Registrerte personbiler,2010,2010,187356,
07,Over 20 år,Personbiler,Registrerte personbiler,2011,2011,189570,
07,Over 20 år,Personbiler,Registrerte personbiler,2012,2012,195187,
07,Over 20 år,Personbiler,Registrerte personbiler,2013,2013,196249,
07,Over 20 år,Personbiler,Registrerte personbiler,2014,2014,203416,
07,Over 20 år,Personbiler,Registrerte personbiler,2015,2015,210525,
07,Over 20 år,Personbiler,Registrerte personbiler,2016,2016,224168,
07,Over 20 år,Personbiler,Registrerte personbiler,2017,2017,232272,
07,Over 20 år,Personbiler,Registrerte personbiler,2018,2018,239248,
07,Over 20 år,Personbiler,Registrerte personbiler,2019,2019,253500,
07,Over 20 år,Personbiler,Registrerte personbiler,2020,2020,253231,
07,Over 20 år,Personbiler,Registrerte personbiler,2021,2021,262116,
07,Over 20 år,Personbiler,Registrerte personbiler,2022,2022,254994,
07,Over 20 år,Personbiler,Registrerte personbiler,2023,2023,259777,
07,Over 20 år,Personbiler,Registrerte personbiler,2024,2024,237353,
07,Over 20 år,Personbiler,Registrerte personbiler,2025,2025,259025,
07,Over 20 år,Varebiler,Registrerte varebiler,2008,2008,15981,
07,Over 20 år,Varebiler,Registrerte varebiler,2009,2009,16034,
07,Over 20 år,Varebiler,Registrerte varebiler,2010,2010,16403,
07,Over 20 år,Varebiler,Registrerte varebiler,2011,2011,16580,
07,Over 20 år,Varebiler,Registrerte varebiler,2012,2012,16815,
07,Over 20 år,Varebiler,Registrerte varebiler,2013,2013,17035,
07,Over 20 år,Varebiler,Registrerte varebiler,2014,2014,17747,
07,Over 20 år,Varebiler,Registrerte varebiler,2015,2015,18866,
07,Over 20 år,Varebiler,Registrerte varebiler,2016,2016,20623,
07,Over 20 år,Varebiler,Registrerte varebiler,2017,2017,21525,
07,Over 20 år,Varebiler,Registrerte varebiler,2018,2018,22665,
07,Over 20 år,Varebiler,Registrerte varebiler,2019,2019,24303,
07,Over 20 år,Varebiler,Registrerte varebiler,2020,2020,25979,
07,Over 20 år,Varebiler,Registrerte varebiler,2021,2021,28177,
07,Over 20 år,Varebiler,Registrerte varebiler,2022,2022,28636,
07,Over 20 år,Varebiler,Registrerte varebiler,2023,2023,30333,
07,Over 20 år,Varebiler,Registrerte varebiler,2024,2024,27860,
07,Over 20 år,Varebiler,Registrerte varebiler,2025,2025,31442,
