Kjopegrupper,Kjopegrupper_label,Produkter,Produkter_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2026M04,2026M04,550.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2026M05,2026M05,621.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2026M06,2026M06,648.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2021M01,2021M01,,..
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2021M02,2021M02,,..
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2021M03,2021M03,,..
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2021M04,2021M04,,..
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2021M05,2021M05,,..
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2021M06,2021M06,,..
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2021M07,2021M07,,..
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2021M08,2021M08,,..
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2021M09,2021M09,,..
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2021M10,2021M10,,..
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2021M11,2021M11,,..
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2021M12,2021M12,,..
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2022M01,2022M01,8.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2022M02,2022M02,7.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2022M03,2022M03,7.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2022M04,2022M04,8.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2022M05,2022M05,5.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2022M06,2022M06,5.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2022M07,2022M07,4.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2022M08,2022M08,6.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2022M09,2022M09,17.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2022M10,2022M10,7.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2022M11,2022M11,16.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2022M12,2022M12,24.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2023M01,2023M01,11.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2023M02,2023M02,8.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2023M03,2023M03,12.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2023M04,2023M04,13.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2023M05,2023M05,6.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2023M06,2023M06,13.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2023M07,2023M07,4.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2023M08,2023M08,6.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2023M09,2023M09,13.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2023M10,2023M10,16.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2023M11,2023M11,12.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2023M12,2023M12,14.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2024M01,2024M01,21.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2024M02,2024M02,16.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2024M03,2024M03,16.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2024M04,2024M04,8.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2024M05,2024M05,15.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2024M06,2024M06,11.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2024M07,2024M07,12.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2024M08,2024M08,8.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2024M09,2024M09,9.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2024M10,2024M10,13.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2024M11,2024M11,12.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2024M12,2024M12,15.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2025M01,2025M01,12.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2025M02,2025M02,12.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2025M03,2025M03,12.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2025M04,2025M04,10.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2025M05,2025M05,10.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2025M06,2025M06,10.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2025M07,2025M07,7.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2025M08,2025M08,8.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2025M09,2025M09,13.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2025M10,2025M10,13.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2025M11,2025M11,14.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2025M12,2025M12,12.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2026M01,2026M01,22.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2026M02,2026M02,23.0,
